$T,130641.01,180.2,1.5,0.2,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,02,03,02,6.0,-0.4,155.2,M,T,*73
$T,130642.01,180.2,1.3,0.1,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.2,M,T,*77
$T,130643.01,180.1,1.1,0.1,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.3,155.2,M,T,*70
$T,130644.01,180.3,1.0,0.1,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,01,03,02,6.0,-0.3,155.2,M,T,*75
$T,130645.01,180.3,0.9,0.1,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,02,03,02,6.0,-0.4,155.2,M,T,*78
$T,130646.01,180.2,0.6,0.2,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,02,03,02,6.0,-0.4,155.2,M,T,*76
$T,130647.01,180.1,0.3,0.2,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,01,03,02,6.0,-0.4,155.1,M,T,*71
$T,130648.01,180.1,-0.1,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.1,M,T,*50
$T,130649.01,180.0,-0.2,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.1,M,T,*53
$T,130650.01,180.0,-0.3,0.1,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.1,M,T,*59
$T,130651.01,180.0,-0.2,0.1,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.1,M,T,*59
$T,130652.01,180.0,-0.5,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.1,M,T,*5E
$T,130653.01,180.0,-0.6,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,02,02,03,6.0,-0.4,155.1,M,T,*5F
$T,130654.01,180.1,-0.7,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.6,07,01,02,03,6.0,-0.4,155.1,M,T,*5B
$T,130655.01,180.1,-0.7,0.2,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,01,03,02,6.0,-0.4,155.0,M,T,*5A
$T,130656.01,180.0,-0.7,0.2,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,01,03,02,6.0,-0.4,155.0,M,T,*58
$T,130657.01,180.0,-0.9,0.2,5506.87400,N,3634.04280,E,50.0,0.492,1.6,07,01,03,02,6.0,-0.4,155.0,M,T,*57
$T,130658.01,179.9,-1.0,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.1,08,01,03,02,6.0,-0.4,155.1,M,T,*57
$T,130659.01,179.8,-0.9,0.2,5506.87400,N,3634.04280,E,56.7,0.492,1.1,08,01,03,02,6.0,-0.4,155.3,M,T,*5D
$T,130700.01,179.7,-1.0,0.2,5506.87360,N,3634.04280,E,56.7,0.492,1.1,08,01,03,02,6.0,-0.4,155.5,M,T,*50
$T,130701.01,179.7,-1.0,0.2,5506.87360,N,3634.04280,E,56.7,0.492,1.1,08,01,03,02,6.0,-0.4,155.7,M,T,*53
$T,130702.01,179.7,-1.0,0.2,5506.87360,N,3634.04280,E,56.7,0.492,1.1,08,01,03,02,6.0,-0.4,155.8,M,T,*5F
